oID,PID,CIDX,Poster,Gender,CDate,Cmt,CLike,Date,Time
226290629-1,226290629,1,臺北醫學大學,m,4月30日 04:36,匆匆四年過社團無成就成績也不行工作無著落,11,2017/4/30,04:36
226260030-1,226260030,1,臺北醫學大學,m,4月25日 11:40,和期中考成績單上的數字一樣耶！,27,2017/4/25,11:40
226260030-2,226260030,2,臺北醫學大學,m,4月25日 13:43,我是說在座的各位都是垃色,11,2017/4/25,13:43
226260030-3,226260030,3,一個把回應刪除的同學,o,4月25日 15:42,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,0,2017/4/25,15:42
226260030-4,226260030,4,臺北醫學大學,f,4月25日 23:34,校板終於變廢了嗎（#,10,2017/4/25,23:34
226260030-5,226260030,5,臺北醫學大學,f,4月26日 03:05,超廢欸哈哈哈哈哈哈,4,2017/4/26,03:05
226260030-6,226260030,6,臺北醫學大學,m,4月26日 08:19,蘋果不合群裡面是黃色,2,2017/4/26,08:19
226260030-7,226260030,7,臺北醫學大學,m,4月26日 09:14,我到底看了什麼...？,1,2017/4/26,09:14
226260030-8,226260030,8,臺北醫學大學,m,4月26日 16:17,...,0,2017/4/26,16:17
226260030-9,226260030,9,臺北醫學大學 藥學系藥學組,m,4月29日 17:48,這種文可以來多一點嗎？,0,2017/4/29,17:48
226259854-1,226259854,1,臺北醫學大學,f,4月25日 13:12,一堆從沒看過的蟲！==+,1,2017/4/25,13:12
226259854-2,226259854,2,臺北醫學大學,m,4月25日 14:19,之前都不知道住進來才知道蚊子真的爆多,0,2017/4/25,14:19
226259854-3,226259854,3,臺北醫學大學 高齡健康管理學系,m,4月26日 05:59,冬天超冷夏天超熱,0,2017/4/26,05:59
226259854-4,226259854,4,臺北醫學大學,f,4月27日 14:09,隔壁打砲聲影響我半夜k書,3,2017/4/27,14:09
226259854-5,226259854,5,臺北醫學大學,f,4月27日 17:17,B4 這是我聽過最慘的，哈哈哈哈哈哈哈哈你放A片吵回去啊XDDD,0,2017/4/27,17:17
226259854-6,226259854,6,一個把回應刪除的同學,o,4月28日 07:40,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,0,2017/4/28,07:40
226259854-7,226259854,7,臺北醫學大學,f,4月28日 07:40,B5 ?不要放那個吵回去啦~搞不好幫人家助興B4 應該放個大悲咒啊www或是白痴公主的聲音給他們啊???,0,2017/4/28,07:40
226259324-1,226259324,1,臺北醫學大學,m,4月25日 09:31,來~乖齁~不怕不怕~,1,2017/4/25,09:31
226259324-2,226259324,2,臺北醫學大學 藥學系藥學組,m,4月25日 13:43,實驗室～～～,3,2017/4/25,13:43
226259324-3,226259324,3,臺北醫學大學,f,4月25日 14:03,大體實??,6,2017/4/25,14:03
226259324-4,226259324,4,臺北醫學大學,f,4月25日 14:18,圖書館?,2,2017/4/25,14:18
226259324-5,226259324,5,臺北醫學大學,f,4月25日 17:50,勝佳二樓的書局,1,2017/4/25,17:50
226259324-6,226259324,6,原PO - 臺北醫學大學,m,4月26日 08:01,B1 555555,0,2017/4/26,08:01
226259324-7,226259324,7,臺北醫學大學,m,4月26日 08:21,B3 停電不可怕恢復之後發現大體都不見了才可怕,0,2017/4/26,08:21
226259324-8,226259324,8,臺北醫學大學 保健營養學系,f,4月27日 14:01,B7 結果還在啊...,0,2017/4/27,14:01
226248081-1,226248081,1,臺北醫學大學 醫學系,m,4月24日 07:37,有房東是租滿一年第二年後幾個月會打折這樣，我想吳興街你應該有機會找到這樣的行情啦xddd,2,2017/4/24,07:37
226248081-2,226248081,2,臺北醫學大學,m,4月24日 14:34,跟他說你要租一年但只付11個月的房租如果他不同意你就申報綜合所得稅 他要繳的錢會更多 超過1個月的租金,0,2017/4/24,14:34
226248081-3,226248081,3,臺北醫學大學,f,4月24日 15:57,B2 然後屋主就拒絕租你XDDD我是覺得你可以問看看能不能優惠啦～畢竟每個屋主不一樣啊～,0,2017/4/24,15:57
226248081-4,226248081,4,臺北醫學大學,m,4月24日 17:31,也不會到拒絕租吧 就只是單純變11個月的租金而已 比9折還少欸,0,2017/4/24,17:31
226248081-5,226248081,5,臺北醫學大學,f,4月25日 03:08,B4 如果屋主不願意，你還要這樣威脅他，他最好是還要租你啦XDDDD放著，一定有其他人要租的啦～畢竟，北醫這裡每年都有一堆學生要租，又不一定要租你。,0,2017/4/25,03:08
