oID,PID,CIDX,Poster,Gender,CDate,Cmt,CLike,Date,Time
226290629-1,226290629,1,臺北醫學大學,m,4月30日 04:36,匆匆 四年 過 社團 無成 成績 不行 工作 無 著落,11,2017/4/30,04:36
226260030-1,226260030,1,臺北醫學大學,m,4月25日 11:40,期中考 成績單 數字 一樣 耶,27,2017/4/25,11:40
226260030-2,226260030,2,臺北醫學大學,m,4月25日 13:43,是說 在座 各位 都是 垃色,11,2017/4/25,13:43
226260030-3,226260030,3,一個把回應刪除的同學,o,4月25日 15:42,已經 刪除 內容 就像 dcard 一樣 錯過 無法 相見,0,2017/4/25,15:42
226260030-4,226260030,4,臺北醫學大學,f,4月25日 23:34,校板 終於 變廢 嗎,10,2017/4/25,23:34
226260030-5,226260030,5,臺北醫學大學,f,4月26日 03:05,超廢 欸 哈哈哈 哈哈哈,4,2017/4/26,03:05
226260030-6,226260030,6,臺北醫學大學,m,4月26日 08:19,蘋果 合群 裡面 黃色,2,2017/4/26,08:19
226260030-7,226260030,7,臺北醫學大學,m,4月26日 09:14,到底 看了,1,2017/4/26,09:14
226260030-8,226260030,8,臺北醫學大學,m,4月26日 16:17,,0,2017/4/26,16:17
226260030-9,226260030,9,臺北醫學大學 藥學系藥學組,m,4月29日 17:48,這種 文 多一點 嗎,0,2017/4/29,17:48
226259854-1,226259854,1,臺北醫學大學,f,4月25日 13:12,一堆 從沒 看過 的蟲,1,2017/4/25,13:12
226259854-2,226259854,2,臺北醫學大學,m,4月25日 14:19,之前 不知道 住 進來 知道 蚊子 真的 爆多,0,2017/4/25,14:19
226259854-3,226259854,3,臺北醫學大學 高齡健康管理學系,m,4月26日 05:59,冬天 超冷 夏天 超熱,0,2017/4/26,05:59
226259854-4,226259854,4,臺北醫學大學,f,4月27日 14:09,隔壁 砲聲 影響 半夜 k 書,3,2017/4/27,14:09
226259854-5,226259854,5,臺北醫學大學,f,4月27日 17:17,b4 這是 聽過 最慘 哈哈哈哈 哈哈哈哈 放 a 片吵 回去 啊 xddd,0,2017/4/27,17:17
226259854-6,226259854,6,一個把回應刪除的同學,o,4月28日 07:40,已經 刪除 內容 就像 dcard 一樣 錯過 無法 相見,0,2017/4/28,07:40
226259854-7,226259854,7,臺北醫學大學,f,4月28日 07:40,b5 不要 放 那個 吵 回去 搞不好 幫 人家 助興 b4 應該 放個 大悲咒 啊 www 或是 白痴 公主 聲音 給 啊,0,2017/4/28,07:40
226259324-1,226259324,1,臺北醫學大學,m,4月25日 09:31,乖 齁 不怕 不怕,1,2017/4/25,09:31
226259324-2,226259324,2,臺北醫學大學 藥學系藥學組,m,4月25日 13:43,實驗室,3,2017/4/25,13:43
226259324-3,226259324,3,臺北醫學大學,f,4月25日 14:03,大體 實,6,2017/4/25,14:03
226259324-4,226259324,4,臺北醫學大學,f,4月25日 14:18,圖書館,2,2017/4/25,14:18
226259324-5,226259324,5,臺北醫學大學,f,4月25日 17:50,勝佳 二樓 書局,1,2017/4/25,17:50
226259324-6,226259324,6,原PO - 臺北醫學大學,m,4月26日 08:01,b1555555,0,2017/4/26,08:01
226259324-7,226259324,7,臺北醫學大學,m,4月26日 08:21,b3 停電 可怕 恢復 之後 發現 大體 不見了 可怕,0,2017/4/26,08:21
226259324-8,226259324,8,臺北醫學大學 保健營養學系,f,4月27日 14:01,b7 結果 還在 啊,0,2017/4/27,14:01
226248081-1,226248081,1,臺北醫學大學 醫學系,m,4月24日 07:37,房東 租滿 一年 第二年 幾個月 打折 這樣 我想 吳興街 應該有 機會 找到 這樣的 行情 xddd,2,2017/4/24,07:37
226248081-2,226248081,2,臺北醫學大學,m,4月24日 14:34,他說 你要 租 一年 只付 11 月 房租 他不 同意 申報 綜合所得稅 他要 繳的 錢會 更多 超過 1 月 租金,0,2017/4/24,14:34
226248081-3,226248081,3,臺北醫學大學,f,4月24日 15:57,b2 然後 屋主 拒絕 租 xddd 我是 覺得 問 看看 能不能 優惠 畢竟 每個 屋主 不一樣 啊,0,2017/4/24,15:57
226248081-4,226248081,4,臺北醫學大學,m,4月24日 17:31,也不會 拒絕 租 只是 單純 變 11 月 租金 而已 9 折 還少 欸,0,2017/4/24,17:31
226248081-5,226248081,5,臺北醫學大學,f,4月25日 03:08,b4 屋主 不願意 還要 這樣 威脅 最好是 還要 租 xdddd 放著 一定有 其他人 租 畢竟 北醫 這裡 每年 都有 一堆 學生 租 一定要 租,0,2017/4/25,03:08
226248081-6,226248081,6,臺北醫學大學,m,4月25日 04:20,不至於 威脅 口吻 討論 啊 況且 附近 房東 十之八九 逃漏稅 本來 就有 問題,0,2017/4/25,04:20
226248081-7,226248081,7,臺北醫學大學,m,4月25日 04:21,況且 也能 先 住進 要求 少 一個月 房租 啊 不讓 少 就去 報稅 報稅 本來 天經地義 的事情,0,2017/4/25,04:21
226237450-1,226237450,1,臺北醫學大學,f,4月22日 02:43,的話 你要 嗎 xd,2,2017/4/22,02:43
226237450-2,226237450,2,臺北醫學大學,f,4月22日 02:45,有膽 蹺課 不要在 那邊 問 要不要 點名 課業 自己的 已經 1920 歲 能不能 為你 負責 阿 覺得 有事情 上課 重要 就去 啊 幹嘛 問 要不要 點名 請假 很難 請 嗎,49,2017/4/22,02:45
226237450-3,226237450,3,臺北醫學大學,f,4月22日 03:53,問 一下 不會 死 人家 就是 喜歡 選不 點名 課 啊,6,2017/4/22,03:53
226237450-4,226237450,4,原PO - 臺北醫學大學,f,4月22日 05:55,的話 應該會,0,2017/4/22,05:55
226237450-5,226237450,5,臺北醫學大學,f,4月22日 05:55,b3 笑死人 你在 期中 選課 喔 可能 全 北醫 現在 選課 解剖 以為是 選 通識 喔 還先問 誰 點名 咧 有本事 上課 不要 被當 誰 管 啊 而且 人家 擺明 禮拜 不想 上課 還要 護航,6,2017/4/22,05:55
226237450-6,226237450,6,原PO - 臺北醫學大學,f,4月22日 06:12,嗯嗯 大家 和氣 和氣 還是 知道 嗎 qq,0,2017/4/22,06:12
226237450-7,226237450,7,臺北醫學大學,m,4月22日 10:04,他不 點名 解剖 我不 建議 翹 可能 不是 每個 科系 都很 實用 多 數學 生 來說 偏 難的 一門課 大一 最大的 大刀 這門課,5,2017/4/22,10:04
226237450-8,226237450,8,原PO - 臺北醫學大學,f,4月22日 10:21,謝謝你 喔 我覺得 解剖 讀也還 ok 滴 卡 還是 溫暖 存在 啊,0,2017/4/22,10:21
226237450-9,226237450,9,臺北醫學大學,m,4月22日 12:43,挑 點名 課 翹 不是 正常 嗎 某樓 是在 激動,11,2017/4/22,12:43
226237450-10,226237450,10,臺北醫學大學,m,4月22日 13:02,只是 翹 就得 負擔 後果 翹 之前 先想 一下 有沒有 實力 翹課,1,2017/4/22,13:02
226237450-11,226237450,11,臺北醫學大學 牙醫學系,f,4月22日 14:50,b2 正義 魔人,6,2017/4/22,14:50
226237450-12,226237450,12,臺北醫學大學,m,4月22日 15:00,倫家 問嘛 北醫 大家 94 太愛嗆 才會 沒人 po 文,9,2017/4/22,00:00
226237450-13,226237450,13,原PO - 臺北醫學大學,f,4月22日 15:31,哈哈 樓上 可愛 翹課 前提 當然是 應該 不會 被當 啊,0,2017/4/22,15:31
226237450-14,226237450,14,臺北醫學大學,f,4月22日 16:26,支持 b2 不喜歡 僥倖 心態 喜歡 翹課 不要 怕 被當,2,2017/4/22,16:26
226237450-15,226237450,15,臺北醫學大學 醫學檢驗暨生物技術學系,m,4月22日 19:30,樓上 激動 屁 一定是 人生 第一次 蹺課 結果 抓 不想 滑掉 不爽 回答 不要 說話 啊 人家 問 一下 差 嗎 也可以 留言 那個 老師 一堂 點名 課前 下課後 都點 行 啊 根本 有病,5,2017/4/22,19:30
226237450-16,226237450,16,臺北醫學大學,m,4月22日 20:41,b14 可是 就是 專挑 點名 翹 學期 成績 才能有 前 10 不然 光翹 堂數 就夠 我被 21,5,2017/4/22,20:41
226237450-17,226237450,17,原PO - 臺北醫學大學,f,4月22日 20:53,樓上 翹課 達人 4ni 前 10 太強 不過 也不是 每個人 都可以 這樣 有些人 就是 看不慣 別人 翹課 我是 覺得 真的 很少 老師 有點 不好意思 不過 既然 點名 代表 老師 也不會 計較 每個人 都有 自己的 原則 啊 雖然會 翹 點名 課 但是 我不會 找人 代簽 之類 老師 會發 簽點 單 就是 希望 上課 啊 像 必修 微積分 解剖 等等 老師 點名 我還是 有讀 懂 教的 內容 我是 覺得 翹課 雖然 抱著 僥倖 心態 可是 不算 太壞 尊重 友善 包容 哈哈 吵架 的話 不是 已經有 黑特 嗎,1,2017/4/22,20:53
226237450-18,226237450,18,臺北醫學大學,f,4月23日 08:16,b15 從沒 翹過 課 以及 我沒 激動 單純 看不慣 一些 而已 順帶 一提 講話 那麼 難聽 失禮 建議 看個 牙科 應該有 口臭 b16 我不 翹 前 幾名 習慣 翹課 比較 了不起 b0 真不知道 你們 那麼 愛 蹺課 為什麼 繳學費 上學 這種 問題 根本 不該 拿出來 問,2,2017/4/23,08:16
226237450-19,226237450,19,臺北醫學大學 醫學系,m,4月23日 10:39,沒差 解剖 還不是 念,4,2017/4/23,10:39
226237450-20,226237450,20,臺北醫學大學 醫學系,f,4月23日 12:08,慶祥 只有在 大體 實 點過 名 而已 而且 只有 兩次 不怕 不過 我覺得 block 考得 微難,3,2017/4/23,12:08
226237450-21,226237450,21,原PO - 臺北醫學大學,f,4月23日 18:51,謝謝 樓上 學姐 然後 某樓 不好意思 喔 我是 領 獎學金 不用 繳學費,1,2017/4/23,18:51
226237450-22,226237450,22,臺北醫學大學,f,4月28日 07:53,我不是 某樓 學妹 妳 也是 滿 浪費 獎學金 ㄏ ㄏ 發 獎學金 給 妳 真的是 浪費 欸 翹 翹 要不要 讀 的確是 負責 翹 還問 要不要 點名 真的 頗 ㄏ,0,2017/4/28,07:53
