PID,Poster,Gender,Title,PDate,PCont,PLike,PReply
226290629,臺北醫學大學,m,大學生活如詩如畫,2017/4/30,在讀大學的歲月裡，或四年，或六年，或將畢業的回味，或剛入學的期待，這段大學時光註定寫入人生長詩中。請以「我的大學生活」為題，結合自身經歷或憧憬，寫成一篇完整的作文，文體、文長、時間皆不限。,6,1
226260030,臺北醫學大學,m,草莓,2017/4/25,番茄蘋果都是紅色,22,9
226259854,臺北醫學大學,m,有沒有學校附近房子很雷的掛,2017/4/25,如題 最近要租房子 逛了蠻多的套房有沒有雖然照片看起來還不錯可是實際上有一些要入住之後才知道的缺點呢??,4,7
226259324,臺北醫學大學,m,停電好口怕噢,2017/4/25,教研上課上到一半全黑QQ以下開放還有哪裡有災情,4,8
226248081,臺北醫學大學,f,關於北醫附近租屋,2017/4/23,弱弱地想請教一下，不知道台北市租房有『一次付清一年房租，然後可以減一個月房租』的這種行情嗎？？,5,7
226237450,臺北醫學大學,f,#問  點名~,2017/4/22,想問各位學長姐解剖學的吳*祥老師會點名嗎～??by下星期不想上課的女子,6,24
226233084,臺北醫學大學,m,宿舍床位,2017/4/21,不枉費我去拜拜上週終於抽到宿舍了XD對了有沒有宿舍頂讓床位的卦?之前跟室友有聊到之前有人買過...,4,6
226232309,臺北醫學大學,m,臺北醫學大學,2017/4/21,臺北醫學大學,14,10
226221030,臺北醫學大學,m,口牙之夜,2017/4/19,看到黑特北醫都是關於口牙之夜求掛(??ω??)?,5,7
226215427,臺北醫學大學 藥學系,f,全民一起瘋解剖?耶依,2017/4/18,最近讀解剖真ㄉ敲崩潰?看ㄌ物化發現什麼鬼 我還是乖乖背骨頭肌肉神經 先哭?今天讀書意外發現我ㄉ賴貼圖裡面角色剛好看起來都有點病於是發ㄌ限時??小獲好評ㄦ室友說這樣有比較有印象所以就來ㄌ 懇請鞭小力點?大家就笑笑不用太認真嘿^^^^哈哈好ㄌ秀ㄉ差不多這樣對我有點效?希望你們也喜歡那麼祝大家期中嗨趴哦?????明天就要考試ㄌ乃睏?阿是今天?,119,11
226186885,臺北醫學大學,f,租屋,2017/4/14,千萬別租一位長期在591然後佈置的很高貴的那個價錢上面只刊5xxx,20,9
226133162,臺北醫學大學,f,甘泉魚麵,2017/4/7,昨天和同學吃完之後都覺得不舒服吐了好幾次胃到現在還是不舒服想問有沒有衛生的八卦？,3,11
226116100,臺北醫學大學,m,宿舍抽籤的序號,2017/4/4,可以抽籤了請問那個有小數點的序號是做啥用的啊?!小的很不明白~~,5,3
